page,text,size,font,bold,x0,y0
1,"THE BHARATIYA NYAYA SANHITA, 2023",11.962425231933594,TimesNewRomanPSMT,False,189.00982666015625,557.1734008789062
1,N,11.962425231933594,TimesNewRomanPSMT,False,261.01641845703125,583.575927734375
1,O,8.373696327209473,TimesNewRomanPSMT,False,269.65716552734375,583.575927734375
1,. 45,11.962425231933594,TimesNewRomanPSMT,False,275.65771484375,583.575927734375
1,OF,8.373696327209473,TimesNewRomanPSMT,False,293.8626708984375,583.575927734375
1,2023,11.962425231933594,TimesNewRomanPSMT,False,307.4383239746094,583.575927734375
1,[25,10.048436164855957,TimesNewRomanPSMT,False,384.8677673339844,602.2977294921875
1,"th December,",10.048436164855957,TimesNewRomanPS-ItalicMT,False,398.05999755859375,602.2977294921875
1,2023.],10.048436164855957,TimesNewRomanPSMT,False,450.0653991699219,602.2977294921875
1,An Act to consolidate and amend the provisions relating to offences and for,11.962425231933594,TimesNewRomanPSMT,False,117.72327423095703,621.9796142578125
1,matters connected therewithor incidentalthereto.,11.962425231933594,TimesNewRomanPSMT,False,141.72547912597656,636.3809814453125
1,B,10.048436164855957,TimesNewRomanPSMT,False,141.72547912597656,655.102783203125
1,E,6.938206195831299,TimesNewRomanPSMT,False,148.20608520507812,655.102783203125
1,it enacted by Parliament in the Seventy-fourth Year of the Republic of India as,10.048436164855957,TimesNewRomanPSMT,False,152.4449005126953,655.102783203125
1,follows:––,10.048436164855957,TimesNewRomanPSMT,False,117.72328186035156,667.1038818359375
1,CHAPTERI,10.048436164855957,TimesNewRomanPSMT,False,273.7375793457031,679.1050415039062
1,P,10.048436164855957,TimesNewRomanPSMT,False,273.01751708984375,697.1068115234375
1,RELIMINARY,6.938206195831299,TimesNewRomanPSMT,False,278.5379943847656,697.1068115234375
1,1.,10.048436164855957,TimesNewRomanPS-BoldMT,True,141.72547912597656,715.1085205078125
1,(,10.048436164855957,TimesNewRomanPSMT,False,149.26104736328125,715.1085205078125
1,1,10.048436164855957,TimesNewRomanPS-ItalicMT,False,154.90768432617188,715.1085205078125
1,") ThisAct maybe called the Bharatiya Nyaya Sanhita, 2023.",10.048436164855957,TimesNewRomanPSMT,False,159.97157287597656,715.1085205078125
1,(,10.048436164855957,TimesNewRomanPSMT,False,141.72547912597656,733.1102294921875
1,2,10.048436164855957,TimesNewRomanPS-ItalicMT,False,145.07127380371094,733.1102294921875
1,") It shall come intoforce on such date as the Central Government may, bynotification",10.048436164855957,TimesNewRomanPSMT,False,150.1251220703125,733.1102294921875
1,"in the Official Gazette, appoint, and different dates maybe appointed for different provisions",10.048436164855957,TimesNewRomanPSMT,False,117.72327423095703,745.1115112304688
1,of this Sanhita.,10.048436164855957,TimesNewRomanPSMT,False,117.72327423095703,757.1126708984375
1,"Short title,",7.895200252532959,TimesNewRomanPSMT,False,485.6769714355469,715.3485107421875
1,commencement,7.895200252532959,TimesNewRomanPSMT,False,485.6769714355469,724.949462890625
1,and,7.895200252532959,TimesNewRomanPSMT,False,485.6769714355469,734.5503540039062
1,application.,7.895200252532959,TimesNewRomanPSMT,False,485.6769714355469,744.1513061523438
1,vlk/kkj.k,11.962425231933594,Vivek-BoldA,True,280.6982116699219,252.5841827392578
1,EXTRAORDINARY,10.048436164855957,TimesNewRomanPS-BoldMT,True,257.1760559082031,266.2655029296875
1,Hkkx,11.962425231933594,Vivek-BoldA,True,263.89666748046875,280.66693115234375
1,II —,10.048436164855957,TimesNewRomanPS-BoldMT,True,276.6593017578125,280.66693115234375
1,[k.M,11.962425231933594,Vivek-BoldA,True,302.74224853515625,280.66693115234375
1,1,10.048436164855957,TimesNewRomanPS-BoldMT,True,321.2554931640625,280.66693115234375
1,PART II — Section 1,10.048436164855957,TimesNewRomanPS-BoldMT,True,254.77584838867188,294.3483581542969
1,izkf/kdkj ls izdkf'kr,11.962425231933594,Vivek-BoldA,True,262.6965637207031,308.74957275390625
1,PUBLISHED BY AUTHORITY,11.962425231933594,TimesNewRomanPSMT,False,219.97264099121094,323.15093994140625
1,lañ,11.962425231933594,Vivek-BoldA,True,117.96330261230469,348.5933837890625
1,53],10.048436164855957,TimesNewRomanPS-BoldMT,True,126.9461669921875,348.5933837890625
1,"ubZ fnYyh] lkseokj] fnlEcj 25] 2023@ikS""k 4] 1945 ¼'kd½",11.962425231933594,Vivek-BoldA,True,209.17164611816406,348.5933837890625
1,No. 53],8.9113187789917,TimesNewRomanPS-BoldMT,True,117.96330261230469,361.31463623046875
1,"NEW DELHI, MONDAY, DECEMBER 25, 2023/PAUSHA 4, 1945 (SAKA)",8.852193832397461,TimesNewRomanPS-BoldMT,True,172.20828247070312,361.31463623046875
1,"bl Hkkx esa fHkUu i`""B la[;k nh tkrh gS ftlls fd ;g vyx ladyu ds :i esa j[kk tk ldsA",11.962425231933594,Vivek-BoldA,True,140.52536010742188,385.7969665527344
1,Separate paging is given to this Part in order that it may be filed as a separate compilation.,8.852193832397461,TimesNewRomanPS-BoldMT,True,124.44390106201172,397.5580749511719
1,xxxGIDHxxx,11.962425231933594,TimesNewRomanPS-BoldMT,True,266.5368957519531,221.14117431640625
1,xxxGIDExxx,11.962425231933594,TimesNewRomanPS-BoldMT,True,267.2569580078125,235.54261779785156
1,"jftLVªh lañ Mhñ ,yñ",10.526835441589355,Vivek-BoldA,True,118.20333099365234,75.4473876953125
1,—(,10.526933670043945,TimesNewRomanPS-BoldMT,True,183.00927734375,75.4473876953125
1,",u",10.526835441589355,Vivek-BoldA,True,197.4105682373047,75.4473876953125
1,),10.526933670043945,TimesNewRomanPS-BoldMT,True,206.5314178466797,75.4473876953125
1,04@0007@2003,10.526835441589355,Vivek-BoldA,True,210.3717803955078,75.4473876953125
1,—,10.526933670043945,TimesNewRomanPS-BoldMT,True,260.0563049316406,75.4473876953125
1,23,10.526835441589355,Vivek-BoldA,True,270.8572998046875,75.4473876953125
1,REGISTERED NO. DL—(N)04/0007/2003—23,7.895200252532959,TimesNewRomanPS-BoldMT,True,304.2203369140625,75.20724487304688
1,MINISTRY OF LAWAND JUSTICE,11.962425231933594,TimesNewRomanPS-BoldMT,True,201.73098754882812,447.0028076171875
1,(Legislative Department),11.962425231933594,TimesNewRomanPS-BoldMT,True,232.21377563476562,463.3243713378906
1,"New Delhi, the",10.048436164855957,TimesNewRomanPS-ItalicMT,False,227.17330932617188,488.0467529296875
1,25,10.048436164855957,TimesNewRomanPSMT,False,288.9548034667969,488.0467529296875
1,"th December,",10.048436164855957,TimesNewRomanPS-ItalicMT,False,302.0666809082031,488.0467529296875
1,2023/,10.048436164855957,TimesNewRomanPSMT,False,356.88531494140625,488.0467529296875
1,Pausha,10.048436164855957,TimesNewRomanPS-ItalicMT,False,383.4406433105469,488.0467529296875
1,4,10.048436164855957,TimesNewRomanPSMT,False,413.18096923828125,488.0467529296875
1,",",10.048436164855957,TimesNewRomanPS-ItalicMT,False,420.4050598144531,488.0467529296875
1,1945 (,10.048436164855957,TimesNewRomanPSMT,False,422.9169006347656,488.0467529296875
1,Saka,10.048436164855957,TimesNewRomanPS-ItalicMT,False,454.00360107421875,488.0467529296875
1,),10.048436164855957,TimesNewRomanPSMT,False,474.4098815917969,488.0467529296875
1,The following Act of Parliament received the assent of the President on the,10.048436164855957,TimesNewRomanPSMT,False,141.72547912597656,512.049072265625
1,"25th December, 2023 and is hereby published for general information:—",10.048436164855957,TimesNewRomanPSMT,False,117.72327423095703,524.0502319335938
1,सी.जी.-डी.एल.-अ.-25122023-250883,9.969684600830078,XTCYIJå¼«Mangal-Regular,False,227.8433837890625,218.0208740234375
1,CG-DL-E-25122023-250883,9.969684600830078,TimesNewRomanPS-BoldMT,True,248.69528198242188,230.0220184326172
2,(,9.965364456176758,TimesNewRomanPSMT,False,141.59249877929688,91.76363372802734
2,3,9.965364456176758,TimesNewRomanPS-ItalicMT,False,144.95083618164062,91.76363372802734
2,) Every person shall be liable to punishment under this Sanhita and not otherwise for,9.965364456176758,TimesNewRomanPSMT,False,149.9933319091797,91.76363372802734
2,"every act or omission contrary to the provisions thereof, of which he shall be guilty within",9.965364456176758,TimesNewRomanPSMT,False,117.60054016113281,103.75950622558594
2,India.,9.965364456176758,TimesNewRomanPSMT,False,117.60054016113281,115.75538635253906
2,(,9.965364456176758,TimesNewRomanPSMT,False,141.59249877929688,131.82986450195312
2,4,9.965364456176758,TimesNewRomanPS-ItalicMT,False,144.95083618164062,131.82986450195312
2,") Any person liable, by any law for the time being in force in India, to be tried for an",9.965364456176758,TimesNewRomanPSMT,False,149.9933319091797,131.82986450195312
2,offence committed beyond India shall be dealt with according to the provisions of this,9.965364456176758,TimesNewRomanPSMT,False,117.60054016113281,143.8257293701172
2,Sanhita for any act committed beyond India in the same manner as if such act had been,9.965364456176758,TimesNewRomanPSMT,False,117.60054016113281,155.8216094970703
2,committed within India.,9.965364456176758,TimesNewRomanPSMT,False,117.60054016113281,167.81748962402344
2,(,9.965364456176758,TimesNewRomanPSMT,False,141.59249877929688,183.89195251464844
2,5,9.965364456176758,TimesNewRomanPS-ItalicMT,False,144.95083618164062,183.89195251464844
